initiative_id,initiative_name,sponsor,owner,handoff,kind,severity,finding,basis,suggested_action
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Decision Needed,Medium,Approve scope deferral for non-critical reporting fields,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Funding Constraint,High,Funding constraint: incremental support not approved for current quarter.,Funding constraint field populated,Frame as human-owned tradeoff; do not imply approval.
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 27 days,Ask for refreshed evidence before relying on this signal.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Decision Needed,Medium,Choose whether portal launch waits for Data Platform stabilization,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Funding Constraint,High,Funding constraint: incremental support not approved for current quarter.,Funding constraint field populated,Frame as human-owned tradeoff; do not imply approval.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 26 days,Ask for refreshed evidence before relying on this signal.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Decision Needed,Medium,Confirm adoption evidence threshold before field rollout,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Sponsor Action,High,Sponsor escalation requested for decision and cross-team alignment.,Sponsor action field populated,Add to sponsor action register with owner and date.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 25 days,Ask for refreshed evidence before relying on this signal.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Decision Needed,Medium,Decide whether forecasting controls proceed with reduced scope,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
